+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |        URI         |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)  |  AVG(BODY)  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/2252.jpg    | 0.002  | 0.002  | 0.002   | 0.002  | 0.002  | 0.002  | 0.002  | 0.000  | 73100.000   | 73100.000   | 73100.000   | 73100.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/4770.jpg    | 0.092  | 0.092  | 0.092   | 0.092  | 0.092  | 0.092  | 0.092  | 0.000  | 214101.000  | 214101.000  | 214101.000  | 214101.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/6194.jpg    | 0.078  | 0.078  | 0.078   | 0.078  | 0.078  | 0.078  | 0.078  | 0.000  | 81612.000   | 81612.000   | 81612.000   | 81612.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/7281.jpg    | 0.002  | 0.002  | 0.002   | 0.002  | 0.002  | 0.002  | 0.002  | 0.000  | 76461.000   | 76461.000   | 76461.000   | 76461.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/6587.jpg    | 0.002  | 0.002  | 0.002   | 0.002  | 0.002  | 0.002  | 0.002  | 0.000  | 77014.000   | 77014.000   | 77014.000   | 77014.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/6857.jpg    | 0.081  | 0.081  | 0.081   | 0.081  | 0.081  | 0.081  | 0.081  | 0.000  | 112766.000  | 112766.000  | 112766.000  | 112766.000  |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@johnnie          | 10.052 | 10.052 | 10.052  | 10.052 | 10.052 | 10.052 | 10.052 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/8050.jpg    | 0.071  | 0.071  | 0.071   | 0.071  | 0.071  | 0.071  | 0.071  | 0.000  | 94604.000   | 94604.000   | 94604.000   | 94604.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /@joann            | 8.399  | 8.399  | 8.399   | 8.399  | 8.399  | 8.399  | 8.399  | 0.000  | 18171.000   | 18171.000   | 18171.000   | 18171.000   |
| 1     | 0   | 0   | 0   | 1   | 0   | GET    | /@muriel           | 10.042 | 10.042 | 10.042  | 10.042 | 10.042 | 10.042 | 10.042 | 0.000  | 0.000       | 0.000       | 0.000       | 0.000       |
| 1     | 0   | 0   | 1   | 0   | 0   | GET    | /logout            | 0.001  | 0.001  | 0.001   | 0.001  | 0.001  | 0.001  | 0.001  | 0.000  | 24.000      | 24.000      | 24.000      | 24.000      |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /image/4798.jpg    | 0.185  | 0.185  | 0.185   | 0.185  | 0.185  | 0.185  | 0.185  | 0.000  | 95199.000   | 95199.000   | 95199.000   | 95199.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9980.jpg    | 0.001  | 0.001  | 0.002   | 0.001  | 0.001  | 0.001  | 0.001  | 0.000  | 96028.000   | 96034.000   | 192062.000  | 96031.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9982.jpg    | 0.000  | 0.002  | 0.002   | 0.001  | 0.002  | 0.002  | 0.002  | 0.001  | 150045.000  | 150045.000  | 300090.000  | 150045.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9983.jpg    | 0.001  | 0.002  | 0.003   | 0.002  | 0.002  | 0.002  | 0.002  | 0.001  | 98197.000   | 98197.000   | 196394.000  | 98197.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9985.jpg    | 0.001  | 0.001  | 0.002   | 0.001  | 0.001  | 0.001  | 0.001  | 0.000  | 83357.000   | 83364.000   | 166721.000  | 83360.500   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9610.jpg    | 0.001  | 0.001  | 0.002   | 0.001  | 0.001  | 0.001  | 0.001  | 0.000  | 79662.000   | 79693.000   | 159355.000  | 79677.500   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9032.jpg    | 0.002  | 0.184  | 0.186   | 0.093  | 0.184  | 0.184  | 0.184  | 0.091  | 97918.000   | 97918.000   | 195836.000  | 97918.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9986.jpg    | 0.001  | 0.001  | 0.002   | 0.001  | 0.001  | 0.001  | 0.001  | 0.000  | 86701.000   | 86731.000   | 173432.000  | 86716.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9981.jpg    | 0.001  | 0.001  | 0.002   | 0.001  | 0.001  | 0.001  | 0.001  | 0.000  | 81455.000   | 81486.000   | 162941.000  | 81470.500   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9988.jpg    | 0.001  | 0.001  | 0.002   | 0.001  | 0.001  | 0.001  | 0.001  | 0.000  | 111632.000  | 111647.000  | 223279.000  | 111639.500  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9989.jpg    | 0.001  | 0.002  | 0.003   | 0.002  | 0.002  | 0.002  | 0.002  | 0.001  | 107553.000  | 107591.000  | 215144.000  | 107572.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9991.jpg    | 0.001  | 0.002  | 0.003   | 0.002  | 0.002  | 0.002  | 0.002  | 0.001  | 153644.000  | 153644.000  | 307288.000  | 153644.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9993.jpg    | 0.001  | 0.001  | 0.002   | 0.001  | 0.001  | 0.001  | 0.001  | 0.000  | 85639.000   | 85653.000   | 171292.000  | 85646.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9994.jpg    | 0.001  | 0.001  | 0.002   | 0.001  | 0.001  | 0.001  | 0.001  | 0.000  | 105277.000  | 105277.000  | 210554.000  | 105277.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9995.jpg    | 0.001  | 0.002  | 0.003   | 0.002  | 0.002  | 0.002  | 0.002  | 0.001  | 123497.000  | 123512.000  | 247009.000  | 123504.500  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9996.jpg    | 0.001  | 0.002  | 0.003   | 0.002  | 0.002  | 0.002  | 0.002  | 0.001  | 375224.000  | 375224.000  | 750448.000  | 375224.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9997.jpg    | 0.001  | 0.002  | 0.003   | 0.002  | 0.002  | 0.002  | 0.002  | 0.001  | 176601.000  | 176608.000  | 353209.000  | 176604.500  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9998.jpg    | 0.001  | 0.002  | 0.003   | 0.002  | 0.002  | 0.002  | 0.002  | 0.001  | 61739.000   | 61739.000   | 123478.000  | 61739.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/10000.png   | 0.004  | 0.004  | 0.008   | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 1057889.000 | 1057898.000 | 2115787.000 | 1057893.500 |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9887.jpg    | 0.088  | 0.678  | 0.766   | 0.383  | 0.678  | 0.678  | 0.678  | 0.295  | 181898.000  | 181937.000  | 363835.000  | 181917.500  |
| 2     | 0   | 0   | 1   | 1   | 0   | POST   | /                  | 0.001  | 0.028  | 0.029   | 0.015  | 0.028  | 0.028  | 0.028  | 0.013  | 0.000       | 0.000       | 0.000       | 0.000       |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9987.jpg    | 0.001  | 0.002  | 0.003   | 0.002  | 0.002  | 0.002  | 0.002  | 0.001  | 367761.000  | 367777.000  | 735538.000  | 367769.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9990.jpg    | 0.001  | 0.001  | 0.002   | 0.001  | 0.001  | 0.001  | 0.001  | 0.000  | 102464.000  | 102494.000  | 204958.000  | 102479.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /image/9999.jpg    | 0.001  | 0.002  | 0.003   | 0.002  | 0.002  | 0.002  | 0.002  | 0.001  | 90035.000   | 90035.000   | 180070.000  | 90035.000   |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /image/10045.png   | 0.001  | 0.002  | 0.005   | 0.002  | 0.002  | 0.002  | 0.002  | 0.000  | 875152.000  | 875161.000  | 2625465.000 | 875155.000  |
| 4     | 0   | 0   | 4   | 0   | 0   | POST   | /register          | 0.010  | 1.585  | 2.601   | 0.650  | 1.585  | 1.585  | 1.585  | 0.671  | 0.000       | 0.000       | 0.000       | 0.000       |
| 7     | 0   | 7   | 0   | 0   | 0   | GET    | /css/style.css     | 0.000  | 0.001  | 0.001   | 0.000  | 0.001  | 0.001  | 0.001  | 0.000  | 1549.000    | 1549.000    | 10843.000   | 1549.000    |
| 7     | 0   | 7   | 0   | 0   | 0   | GET    | /js/timeago.min.js | 0.001  | 0.001  | 0.003   | 0.000  | 0.001  | 0.001  | 0.001  | 0.000  | 1915.000    | 1915.000    | 13405.000   | 1915.000    |
| 7     | 0   | 7   | 0   | 0   | 0   | GET    | /favicon.ico       | 0.002  | 0.002  | 0.004   | 0.001  | 0.002  | 0.002  | 0.002  | 0.001  | 43.000      | 43.000      | 301.000     | 43.000      |
| 7     | 0   | 7   | 0   | 0   | 0   | GET    | /js/main.js        | 0.001  | 0.005  | 0.007   | 0.001  | 0.005  | 0.005  | 0.005  | 0.002  | 1824.000    | 1824.000    | 12768.000   | 1824.000    |
| 26    | 0   | 26  | 0   | 0   | 0   | GET    | /login             | 0.001  | 0.003  | 0.022   | 0.001  | 0.001  | 0.001  | 0.003  | 0.001  | 1290.000    | 1290.000    | 33540.000   | 1290.000    |
| 58    | 0   | 0   | 58  | 0   | 0   | POST   | /login             | 0.001  | 1.194  | 18.328  | 0.316  | 0.779  | 0.893  | 1.194  | 0.313  | 0.000       | 0.000       | 0.000       | 0.000       |
| 61    | 0   | 7   | 0   | 54  | 0   | GET    | /                  | 0.953  | 10.063 | 538.536 | 8.828  | 10.053 | 10.062 | 10.063 | 2.846  | 0.000       | 36356.000   | 250321.000  | 4103.623    |
+-------+-----+-----+-----+-----+-----+--------+--------------------+--------+--------+---------+--------+--------+--------+--------+--------+-------------+-------------+-------------+-------------+
